mean_iki,std_iki,pause_count,mean_pause,total_events,insert_count,backspace_count,gaze_event_count,error_rate,wpm,session_time,fatigue
0.6796000003814697,0.7448999332619712,5,2.2792001247406004,41,9,0,24,0.0,3.972925247917083,0,
0.6382553222331595,0.5053083718750884,8,1.5151250064373016,48,13,0,32,0.0,5.200346664649829,30,
0.43211110874458597,0.2928777626295554,2,1.5394999980926514,55,4,1,40,0.25,2.0570840945778532,60,
0.507881354477446,0.26019714657254145,4,1.1662500500679016,60,5,1,43,0.2,2.0023360644706116,90,
0.6529777791765001,0.6964594788036562,9,1.7364444732666016,46,11,0,29,0.0,4.4922406655747045,120,
0.6618444442749023,0.591590960531923,4,2.2577500343322754,46,6,0,29,0.0,2.4174864861982996,150,
0.5224399995803833,0.39090069877558115,6,1.3906666437784831,51,10,0,33,0.0,4.59382896012489,180,
0.6778409101746299,0.879670911480105,6,2.046500007311503,45,8,0,29,0.0,3.2187761893216025,0,
0.5403454520485618,0.6356388303581555,4,2.1582499742507935,56,13,3,32,0.23076923076923078,5.249167223690684,30,
0.5306181820956144,0.33550324896141426,5,1.3417999744415283,56,13,1,39,0.07692307692307693,5.345394734047278,60,
0.5023220353207346,0.36577152579441763,6,1.33733336130778,60,11,1,37,0.09090909090909091,4.45389208172941,90,
0.47959016190200554,0.26797783611453574,4,1.1810000538825989,62,10,0,42,0.0,4.101862946796766,120,
0.6313829827815929,0.48019497223711,10,1.3769999980926513,48,14,3,23,0.21428571428571427,5.661331050385401,150,
0.5413636337627065,0.41077194973431486,5,1.5792000770568848,56,10,0,37,0.0,4.030226719614729,180,
0.6730909076603976,0.8909552532408422,8,1.7431250214576721,45,12,0,25,0.0,4.86223663918292,210,
0.43826153828547554,0.26096163341405887,3,1.0886666774749756,66,11,9,32,0.8181818181818182,4.633692563380785,240,
0.4879666646321615,0.3143541174386064,3,1.4516667524973552,61,7,1,40,0.14285714285714285,2.8690484442320385,270,
0.4895344849290519,0.3449733173820083,5,1.3297999858856202,59,10,0,37,0.0,4.2263938107266,300,
0.5073559284210205,0.2600800800545779,5,1.132200002670288,60,14,0,39,0.0,5.612347205600662,330,
0.48852458938223414,0.34635024018978333,6,1.337833325068156,62,7,1,44,0.14285714285714285,2.818791950819143,360,
0.6817380984624227,0.6463008389096315,9,1.5946667459275987,43,13,0,21,0.0,5.4482589760830935,390,
0.4534153828254113,0.26172744229502515,4,1.1125000715255737,66,9,0,44,0.0,3.6644951284730474,420,
0.5446862753699807,0.6655772656494495,6,1.8029999732971191,52,10,0,31,0.0,4.319809921541243,450,
0.5966799974441528,0.6750348296968598,5,1.9625999450683593,51,9,0,34,0.0,3.6200308528059355,480,
0.5436181805350564,0.4026926359225112,6,1.475000023841858,56,9,1,35,0.1111111111111111,3.6121609503634593,510,
0.7237560981657447,1.1035259056891,5,2.676199960708618,42,8,0,27,0.0,3.2351553521528142,540,
0.5050677970304327,0.3285611694053694,5,1.3657999992370606,60,10,1,40,0.1,4.026980767815997,570,
0.8542571408408028,1.5120935387789498,6,2.8865000009536743,36,8,0,24,0.0,3.2108097336564083,600,
0.4913114758788562,0.3952087337722605,3,1.7493334611256917,62,12,1,41,0.08333333333333333,4.804804800217998,630,
0.5148965531382067,0.31533638042172324,4,1.3564999103546143,59,10,0,39,0.0,4.01821590109972,660,
0.5875490179248885,0.5741740923270439,7,1.6018571853637695,52,9,2,31,0.2222222222222222,3.6042049160471015,690,
0.6058367320469448,0.5026579115143879,7,1.5971428326198034,50,10,0,30,0.0,4.042309523825587,720,
0.5513888906549524,0.43372254294681234,6,1.49999996026357,55,12,0,35,0.0,4.836272024811995,750,
0.7692051300635705,1.4106287348559834,5,2.9515999794006347,40,6,0,26,0.0,2.400079996868029,780,
0.6592954559759661,0.6816705144918505,8,1.6328750252723694,45,12,1,19,0.08333333333333333,4.9639766861165455,810,
0.4439848480802594,0.26352268459310113,3,1.2010000546773274,67,9,0,47,0.0,3.6856294610932983,840,
0.4793387113078948,0.4392209561787968,2,2.5770000219345093,63,3,0,46,0.0,1.2113462726722177,870,
0.6238333334525427,0.6893047360864993,7,1.7420000008174352,49,13,5,22,0.38461538461538464,5.209724818667837,900,
0.514465517011182,0.35497776098111733,4,1.5045000314712524,59,5,2,42,0.4,2.010791247255168,930,
0.5198070166403788,0.419589834120795,6,1.4490000406901042,58,13,2,31,0.15384615384615385,5.2651118927788625,960,
0.573346156340379,0.7224535645581098,5,1.9251999855041504,53,8,0,30,0.0,3.2199637613997334,990,
0.533696425812585,0.549854938313542,6,1.6964999437332153,57,10,0,33,0.0,4.015123653103942,1020,
0.5314363653009588,0.3695801496657586,7,1.336714233670916,56,4,0,39,0.0,1.6422046546119156,1050,
0.5628867959076503,0.640923404402713,6,1.831666628519694,54,10,0,35,0.0,4.022391286946608,1080,
0.6248750040928522,0.4803884055048247,7,1.517714330128261,49,15,0,25,0.0,6.001200200740907,1110,
0.5246037762120085,0.35295997273685853,6,1.274666666984558,54,9,0,36,0.0,3.884333170017236,1140,
0.5398000023581765,0.4998138629651812,5,1.6594000339508057,56,10,0,37,0.0,4.041901023132023,1170,
0.5430181806737726,0.3478175963939922,5,1.3967999935150146,56,13,0,36,0.0,5.223330888929537,1200,
0.5988600015640259,0.9899436341293991,3,3.4583332538604736,51,5,1,34,0.2,2.0038072285108264,1230,
0.5252280695396557,0.3037604981107464,3,1.4003334045410156,58,11,0,39,0.0,4.409112170478475,1260,
0.7167026996612549,1.3593869107692125,3,3.744666576385498,38,12,0,19,0.0,5.430273799347163,1290,
0.49456666310628256,0.350079042561521,6,1.406999985376994,61,3,1,42,0.3333333333333333,1.2131832668047418,1320,
0.48225806605431343,0.3069272003656037,4,1.4325000643730164,63,7,2,46,0.2857142857142857,2.809364539534385,1350,
0.6640681786970659,0.5261362292275805,8,1.6252500116825104,45,9,0,24,0.0,3.696225076409161,1380,
0.5318392855780465,0.5332240731349394,3,2.2746666272481284,57,5,0,37,0.0,2.0145720718319162,1410,
0.5539629635987459,0.5202507030168821,3,2.0166666507720947,55,7,0,33,0.0,2.8080497393726436,1440,
0.4759206355564178,0.3151537309642252,6,1.2424999872843425,64,10,0,41,0.0,4.002267946492742,1470,
0.5022372876183462,0.6054800984683817,2,2.879999876022339,60,6,0,42,0.0,2.4298056180531784,1500,
0.5315185211322926,0.31989019196815704,7,1.2110000337873186,55,8,2,33,0.25,3.344714637583244,1530,
0.5983999967575073,0.6690902212152939,8,1.6880000233650208,51,8,1,32,0.125,3.208556167118516,1560,
0.5409090909090909,0.5955043684019106,2,2.9744999408721924,56,7,0,36,0.0,2.8235294117647056,1590,
