mean_iki,std_iki,pause_count,mean_pause,long_pause_count,total_events,insert_count,insert_suggestion_count,insert_letter_suggestion_count,backspace_count,delete_word_count,delete_sentence_count,switch_view_count,gaze_event_count,text_area_gaze_count,tile_gaze_not_selected_count,error_rate,wpm,event_rate,session_time,fatigue,source
5.6366666952768965,2.2438747186170978,3,5.6366666952768965,3,4,4,0,0,0,0,0,0,0,0,0,0.0,2.8385570524165993,0.2365464210347166,0.0,5.0,realtime
4.836499989032745,3.024385137662948,3,6.221999963124593,3,5,3,0,0,2,0,0,0,0,0,0,0.6666666666666666,1.8608497922895508,0.2584513600402154,20.0,5.0,realtime
0.6059090946659897,0.5516006666730862,3,2.000666697820028,1,34,3,4,5,0,0,0,4,18,0,18,0.0,16.80420094606924,1.700425095733197,0.0,5.0,realtime
0.6001515171744607,0.4335867238466703,4,1.5649999976158142,1,34,3,5,6,0,0,0,3,17,1,16,0.0,20.60085829965889,1.716738191638241,20.0,5.0,realtime
0.5379354799947431,0.3217264998077296,5,1.1302000045776368,0,32,2,4,5,0,0,0,1,20,0,20,0.0,19.429119832973175,1.9189254156022888,40.0,5.0,realtime
0.5050512827359713,0.2723896134296563,2,1.2280000448226929,0,40,5,2,4,0,0,0,6,23,1,22,0.0,11.575366791435464,2.030766103760608,60.0,5.0,realtime
0.52045945863466,0.2874813802812085,3,1.256333351135254,0,38,4,2,2,0,0,0,6,24,0,24,0.0,9.970400389690631,1.973308410459604,80.0,5.0,realtime
0.6114687547087669,0.5141347777630672,3,1.7016666730244954,1,33,2,3,5,0,0,0,1,22,0,22,0.0,13.492103948842566,1.6865129936053207,100.0,5.0,realtime
0.4614473644055818,0.2474898625179324,2,1.162500023841858,0,39,4,2,2,0,0,0,4,27,0,27,0.0,10.949529607685523,2.2241232015611216,120.0,5.0,realtime
0.6161250025033951,0.3393932839155803,4,1.2490000128746033,0,33,3,0,4,0,0,0,3,23,0,23,0.0,4.260499069724954,1.6737674916776606,0.0,6.0,realtime
0.5209210483651412,0.4224914263554222,4,1.568250060081482,1,39,2,2,3,0,0,0,3,29,0,29,0.0,9.093205429362596,1.9701945096952296,20.0,6.0,realtime
0.4516279032064039,0.2306751765239366,1,1.180999994277954,0,44,3,2,4,0,0,0,7,28,0,28,0.0,10.504634485224512,2.265705477205287,40.0,6.0,realtime
0.6742413783895558,0.4483216877673675,8,1.272374987602234,1,30,4,4,5,0,0,0,2,15,0,15,0.0,17.797780416061578,1.534291415177722,60.0,6.0,realtime
0.763439998626709,0.6568738600499954,5,1.8384000301361083,2,26,3,2,4,0,0,0,4,13,0,13,0.0,10.688462766790275,1.3622550585124864,80.0,6.0,realtime
0.6451333284378051,0.4680078026357201,5,1.4804000377655029,1,31,2,5,6,0,0,0,1,17,0,17,0.0,20.460886793686345,1.6017360873845368,100.0,6.0,realtime
0.5395135170704609,0.3179119748894564,3,1.3079999287923176,0,38,1,4,8,0,0,0,1,24,0,24,0.0,17.433122818639315,1.903616859506592,120.0,6.0,realtime
0.335875004529953,0.1187631850998435,0,0.0,0,9,2,1,0,0,0,0,1,5,0,5,0.0,31.26162964908459,3.3494603195447774,140.0,6.0,realtime
0.5896060611262466,0.369726516301184,5,1.3444000720977782,0,34,2,3,4,0,0,0,5,20,0,20,0.0,12.951636931575806,1.7474430780697514,0.0,4.0,realtime
0.7821199989318848,1.0872559157145674,3,3.2390000025431314,2,26,4,1,8,0,0,0,0,13,0,13,0.0,10.43318162320851,1.3297192264873592,20.0,4.0,realtime
0.6599999979922646,0.5598453191242885,3,1.6153333981831868,1,20,2,4,2,0,0,0,2,10,0,10,0.0,22.966507246898143,1.594896336590149,40.0,4.0,realtime
0.4692000031471252,0.2488718207908772,2,1.1589999198913574,0,41,3,5,4,0,0,0,3,26,0,26,0.0,20.460357919029605,2.1845694653130567,60.0,4.0,realtime
0.660533332824707,0.385781753470483,6,1.1961666345596311,0,31,1,3,10,0,0,0,2,15,0,15,0.0,15.744852656451725,1.5643924113782164,80.0,4.0,realtime
0.5504444440205892,0.3355936026092367,2,1.4565000534057615,0,37,4,2,3,1,0,0,5,22,0,22,0.1428571428571428,10.29471135229536,1.8671780393869033,100.0,4.0,realtime
0.4795121972153826,0.3013189519621669,3,1.3163333733876543,0,42,2,2,2,0,0,0,5,31,0,31,0.0,8.545269545602931,2.1363173864007328,120.0,4.0,realtime
0.6010000043445163,0.325134726285038,2,1.2330000400543213,0,19,2,3,4,0,0,0,1,9,0,9,0.0,23.29450898302267,1.7563320264977411,140.0,4.0,realtime
0.8217619033086867,0.5518801393989007,7,1.5132857050214494,0,22,3,0,5,0,0,0,2,12,0,12,0.0,5.562959968115435,1.2748449926931205,0.0,10.0,realtime
0.8894090977582064,0.6496306263588802,7,1.651571444102696,1,23,2,1,3,0,0,0,5,12,0,12,0.0,6.132774522201166,1.1754484500885567,20.0,10.0,realtime
0.7699200057983399,0.8752709778808161,6,1.875666658083598,1,26,4,1,2,0,0,0,2,17,2,15,0.0,6.8578553099488575,1.3507896822626535,40.0,10.0,realtime
