mean_iki,std_iki,pause_count,mean_pause,long_pause_count,total_events,insert_count,insert_suggestion_count,insert_letter_suggestion_count,backspace_count,delete_word_count,delete_sentence_count,switch_view_count,gaze_event_count,text_area_gaze_count,tile_gaze_not_selected_count,error_rate,wpm,event_rate,session_time,fatigue
0.6059090946659897,0.5516006666730862,3,2.000666697820028,1,34,3,4,5,0,0,0,4,18,0,18,0.0,16.80420094606924,1.700425095733197,0.0,5.0
0.6001515171744607,0.4335867238466703,4,1.5649999976158142,1,34,3,5,6,0,0,0,3,17,1,16,0.0,20.60085829965889,1.716738191638241,20.0,5.0
0.5379354799947431,0.32172649980772966,5,1.1302000045776368,0,32,2,4,5,0,0,0,1,20,0,20,0.0,19.429119832973175,1.9189254156022886,40.0,5.0
0.5050512827359713,0.2723896134296563,2,1.2280000448226929,0,40,5,2,4,0,0,0,6,23,1,22,0.0,11.575366791435464,2.030766103760608,60.0,5.0
0.52045945863466,0.28748138028120857,3,1.256333351135254,0,38,4,2,2,0,0,0,6,24,0,24,0.0,9.970400389690631,1.973308410459604,80.0,5.0
0.6114687547087669,0.5141347777630672,3,1.7016666730244954,1,33,2,3,5,0,0,0,1,22,0,22,0.0,13.492103948842566,1.6865129936053207,100.0,5.0
0.4614473644055818,0.2474898625179324,2,1.162500023841858,0,39,4,2,2,0,0,0,4,27,0,27,0.0,10.949529607685523,2.2241232015611216,120.0,5.0
0.6161250025033951,0.3393932839155803,4,1.2490000128746033,0,33,3,0,4,0,0,0,3,23,0,23,0.0,4.260499069724954,1.6737674916776606,0.0,6.0
0.5209210483651412,0.4224914263554222,4,1.568250060081482,1,39,2,2,3,0,0,0,3,29,0,29,0.0,9.093205429362596,1.9701945096952294,20.0,6.0
0.4516279032064039,0.23067517652393665,1,1.180999994277954,0,44,3,2,4,0,0,0,7,28,0,28,0.0,10.504634485224512,2.265705477205287,40.0,6.0
0.6742413783895558,0.4483216877673675,8,1.2723749876022339,1,30,4,4,5,0,0,0,2,15,0,15,0.0,17.797780416061578,1.534291415177722,60.0,6.0
0.763439998626709,0.6568738600499954,5,1.8384000301361083,2,26,3,2,4,0,0,0,4,13,0,13,0.0,10.688462766790277,1.3622550585124864,80.0,6.0
0.6451333284378051,0.4680078026357201,5,1.4804000377655029,1,31,2,5,6,0,0,0,1,17,0,17,0.0,20.460886793686342,1.6017360873845368,100.0,6.0
0.5395135170704609,0.31791197488945644,3,1.3079999287923176,0,38,1,4,8,0,0,0,1,24,0,24,0.0,17.433122818639315,1.903616859506592,120.0,6.0
0.335875004529953,0.11876318509984357,0,0.0,0,9,2,1,0,0,0,0,1,5,0,5,0.0,31.26162964908459,3.3494603195447774,140.0,6.0
0.5896060611262466,0.369726516301184,5,1.3444000720977782,0,34,2,3,4,0,0,0,5,20,0,20,0.0,12.951636931575806,1.7474430780697514,0.0,4.0
0.7821199989318848,1.0872559157145674,3,3.2390000025431314,2,26,4,1,8,0,0,0,0,13,0,13,0.0,10.43318162320851,1.3297192264873592,20.0,4.0
0.6599999979922646,0.5598453191242885,3,1.6153333981831868,1,20,2,4,2,0,0,0,2,10,0,10,0.0,22.966507246898143,1.594896336590149,40.0,4.0
0.46920000314712523,0.24887182079087727,2,1.1589999198913574,0,41,3,5,4,0,0,0,3,26,0,26,0.0,20.460357919029605,2.1845694653130567,60.0,4.0
0.660533332824707,0.385781753470483,6,1.1961666345596313,0,31,1,3,10,0,0,0,2,15,0,15,0.0,15.744852656451725,1.5643924113782164,80.0,4.0
0.5504444440205892,0.33559360260923676,2,1.4565000534057617,0,37,4,2,3,1,0,0,5,22,0,22,0.14285714285714285,10.294711352295359,1.8671780393869033,100.0,4.0
0.47951219721538263,0.3013189519621669,3,1.3163333733876545,0,42,2,2,2,0,0,0,5,31,0,31,0.0,8.545269545602931,2.1363173864007328,120.0,4.0
0.6010000043445163,0.32513472628503803,2,1.2330000400543213,0,19,2,3,4,0,0,0,1,9,0,9,0.0,23.29450898302267,1.7563320264977411,140.0,4.0
0.4210222244262695,0.19457080385929743,1,1.0900001525878906,0,46,4,1,4,0,0,0,3,34,0,34,0.0,8.233927962807005,2.4279531172379625,0.0,10.0
0.43909524168287006,0.1762890700609909,0,0.0,0,43,4,1,7,0,0,0,4,27,0,27,0.0,10.411018242666856,2.3316342939305974,20.0,10.0
0.5435428619384766,0.2810980713742278,4,1.0779999494552612,0,36,2,4,8,0,0,0,1,21,0,21,0.0,18.923464929760264,1.8923464929760263,40.0,10.0
0.5111842092714811,0.2719579778203179,2,1.277000069618225,0,39,4,1,6,0,0,0,4,24,1,23,0.0,9.266409289156078,2.0077220126504836,60.0,10.0
0.47388094947451637,0.2803850501710208,2,1.347999930381775,0,43,4,2,6,0,0,0,5,26,0,26,0.0,12.058483719639394,2.1604783331020583,80.0,10.0
0.4738095204035441,0.3230673308113373,3,1.2740000089009602,0,43,5,5,3,0,0,0,4,26,0,26,0.0,19.89949763048472,2.160804035633442,100.0,10.0
0.8217619033086867,0.5518801393989007,7,1.5132857050214494,0,22,3,0,5,0,0,0,2,12,0,12,0.0,5.562959968115435,1.2748449926931205,0.0,10.0
0.8894090977582064,0.6496306263588802,7,1.651571444102696,1,23,2,1,3,0,0,0,5,12,0,12,0.0,6.132774522201166,1.1754484500885567,20.0,10.0
0.7699200057983399,0.8752709778808161,6,1.875666658083598,1,26,4,1,2,0,0,0,2,17,2,15,0.0,6.8578553099488575,1.3507896822626537,40.0,10.0
0.886454538865523,0.5307507627554531,8,1.4650000035762787,1,23,4,0,3,0,0,0,2,14,1,13,0.0,4.307250570422139,1.1793662276155858,60.0,10.0
0.9524500012397766,0.7832045181144502,7,1.9010000228881836,2,21,2,0,3,0,0,0,2,14,1,13,0.0,3.1497716374560203,1.1024200731096072,80.0,10.0
0.702304342518682,0.5851701916303751,5,1.6638000011444092,1,24,2,0,4,0,0,0,1,17,0,17,0.0,4.457376372445571,1.4857921241485241,100.0,10.0
1.6503333449363708,1.6573021999416697,7,2.5018571444920132,4,13,1,1,4,0,0,0,0,7,0,7,0.0,6.059381900439971,0.6564330392143302,120.0,10.0
1.397571427481515,1.0499087965034088,7,2.293714318956648,6,15,1,0,6,0,0,0,0,8,1,7,0.0,4.293161610217133,0.7666360018244882,140.0,10.0
0.7915789453606856,0.5509234052617759,4,1.727999985218048,1,20,1,3,5,0,0,0,0,11,0,11,0.0,16.755319191433824,1.3297872374153827,160.0,10.0
0.9161904766446068,0.656563367426118,7,1.6844285556248255,2,22,2,0,7,0,0,0,1,12,0,12,0.0,5.613305610523251,1.143451142884366,180.0,10.0
1.2194999967302596,1.7641436329104376,3,3.8953333695729575,2,15,2,0,1,0,0,0,2,10,0,10,0.0,2.1085925201501614,0.8785802167292339,200.0,10.0
0.8673913064210311,0.5825891914407878,6,1.6986666917800903,1,24,2,0,5,0,0,0,1,16,0,16,0.0,4.2105263057256375,1.2030075159216107,220.0,10.0
0.7360000610351562,0.0,0,0.0,0,2,1,1,0,0,0,0,0,0,0,0,0.0,97.82607884398097,2.7173910789994715,240.0,10.0
1.6597500046094258,1.712340707554705,7,2.3785714421953474,3,13,0,2,3,0,0,0,0,8,0,8,0.0,7.832504873563278,0.6527087394636064,0.0,10.0
0.9008499979972839,0.7292725527472087,6,1.790333350499471,1,21,1,2,4,0,0,0,2,12,0,12,0.0,9.990564489102807,1.1655658570619942,20.0,10.0
1.8922500014305115,1.6699784244167528,4,3.272499978542328,3,9,1,2,1,0,0,0,1,4,0,4,0.0,9.512485129550685,0.5945303205969177,40.0,10.0
1.8993333445654974,1.7775751714664705,4,3.598250091075897,4,10,1,1,1,0,0,0,2,5,0,5,0.0,4.914004884944765,0.5850005815410435,60.0,10.0
1.845299983024597,2.165106765920684,5,3.1962000370025634,2,11,2,0,3,0,0,0,0,6,0,6,0.0,3.251503850428433,0.5961090392452127,80.0,10.0
0.6908461497380183,0.5541624173158797,4,1.453000009059906,0,14,2,2,1,0,0,0,1,8,1,7,0.0,17.370003443676456,1.558846462894041,100.0,10.0
0.8492727279663086,0.6364608123871325,8,1.484749972820282,1,23,3,0,4,0,0,0,3,13,0,13,0.0,4.495825301402224,1.2309997849077519,120.0,10.0
1.2784000078837077,1.3083186697155875,5,2.966000032424927,5,16,1,0,5,0,0,0,0,10,0,10,0.0,3.7546933435537353,0.8343762985674967,140.0,10.0
